,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
13,CHAS=1.0,0.0021540704192774237,,,,,,,
12,CHAS=0.0,0.0032104592566171548,,,,,,,
1,ZN,0.008621025691386841,11.561904504492452,-0.009437068768775078,0.02271961753786203,0.010154394620278286,0.025794443930818797,0.0,0.0
7,RAD,0.011627179073864572,4.289541828805091,-0.445641829952965,0.07365724802836471,0.4460964629124738,0.0802927672875693,0.14439795929725818,0.06297221062288827
9,PTRATIO,0.04127171332774269,1.1129704632793018,0.69594213809448,-0.4103960195269512,0.7414829026831149,0.42431856970001547,0.47740758061998,0.2320999807404398
8,TAX,0.051202905741707015,82.98343425017102,1.0890528953694933,-0.3919500410939348,1.118322520132899,0.41629174846979045,0.14287026407786385,0.14171170155805157
2,INDUS,0.053445611657451826,3.443039676613363,0.13216551306225505,0.08424240542352161,0.23371304570862597,0.16971931199546905,0.010691485334000106,0.0
3,NOX,0.058986868445235076,0.05877935520360989,0.24964949502337336,-0.20851747356397157,0.5169337140222948,0.39803047769482996,0.09137577669669383,0.03730970757800911
0,CRIM,0.08080883566393987,4.4291355305508,-0.847953201670239,-0.285582699667625,1.1756855435403133,0.5984892228656464,0.6469118245467325,0.38975295076946637
5,AGE,0.10818549757597136,13.980126746690955,0.22478826506970334,-0.3325417836239295,0.5570898178730167,0.4722244263504123,0.4215367166169006,0.2815629815974745
10,B,0.11289308156388281,45.72656881574895,-0.3888524002748837,0.17388012488912857,0.51438432900829,0.2932979647697899,0.2945268518950712,0.051828692679392496
6,DIS,0.12768186286475458,1.0642935686250505,4.140408883324514,-0.395463648895633,4.2528011249467434,0.7607088401221592,0.7708694842224428,0.3717767989380292
11,LSTAT,0.14761013964521782,3.5507877966079993,1.6666609886545651,-1.5653979864373924,1.7371041792433304,1.6701640698301985,1.4261473887656901,1.2778361544372725
4,RM,0.19230074907295094,0.3542865889835718,-1.2370832455458844,1.6828701453042854,1.3710542433162722,1.877909908560202,0.7598163863134157,1.3128097190813026
